brand_key,campaign_key,group_key,year,month,impressions,reach,clicks,sales,family,budget,cost,contribution,_merge,matched
aislanglass,lanzamiento,CRM,2025,12,0.0,18.0,0.0,1147243.0,,,,,left_only,False
aislanglass,njkzr0uq5,CRM,2025,7,0.0,54057.0,234.0,86580.0,,,,,left_only,False
aislanglass,omyrauxr5,CRM,2024,1,0.0,53807.0,5758.0,2445490.0,,,,,left_only,False
aislanglass,p2ymelhze,CRM,2025,7,0.0,54029.0,237.0,204238.0,,,,,left_only,False
aislanglass,sin campana,CRM,2025,12,0.0,32.0,1.0,2017732.0,,,,,left_only,False
aiwa,6189516 007594,CRM,2023,1,0.0,101653.0,172.0,500473.0,,,,,left_only,False
aiwa,6189516 007705,CRM,2023,1,0.0,101596.0,207.0,169670.0,,,,,left_only,False
albin trotter,aon marzo 2026 albin trotter,Sponsored Products,2026,3,82149.0,0.0,1410.0,12591060.0,BANOS Y COCINAS,400000.0,329600.0,70400.0,both,True
albin trotter,black week,Sponsored Products,2026,3,138558.0,0.0,2266.0,17840680.0,,,,,left_only,False
alcazar,,Otros,2026,5,247214.0,0.0,317.0,0.0,,,,,left_only,False
alcazar,,Retail Display,2025,5,216864.0,0.0,720.0,0.0,,,,,left_only,False
alcazar,,Retail Display,2025,6,207856.0,0.0,722.0,0.0,,,,,left_only,False
alcazar,,Retail Display,2025,7,225887.0,0.0,1079.0,0.0,,,,,left_only,False
alcazar,2soxjbvo2,CRM,2024,5,0.0,53992.0,3080.0,16364712.0,,,,,left_only,False
alcazar,5kato2dya,CRM,2024,5,0.0,102135.0,658.0,8183677.0,,,,,left_only,False
alcazar,6pzgen8dh,CRM,2024,6,0.0,101215.0,347.0,8300369.0,,,,,left_only,False
alcazar,8tamdwta4,CRM,2025,7,0.0,101326.0,624.0,5304850.0,,,,,left_only,False
alcazar,ao,Google,2025,5,179329.0,0.0,3209.0,0.0,,,,,left_only,False
alcazar,ao,Google,2025,6,5271.0,0.0,130.0,0.0,,,,,left_only,False
alcazar,aon alcazar,Retail Display,2026,4,302836.0,0.0,230.0,0.0,,,,,left_only,False
alcazar,aon alcazar,Retail Display,2026,5,81781.0,0.0,90.0,0.0,,,,,left_only,False
alcazar,black marzo alcazar 2026,CRM,2026,4,0.0,329550.0,0.0,14821645.0,ELECTROHOGAR,1000000.0,27586.0,972414.0,both,True
alcazar,black week,Sponsored Products,2026,3,186212.0,0.0,3326.0,17879740.0,,,,,left_only,False
alcazar,calefaccion,Retail Display,2024,6,309959.0,0.0,1502.0,0.0,,,,,left_only,False
alcazar,co brand,Retail Display,2024,5,164641.0,0.0,948.0,0.0,,,,,left_only,False
alcazar,electrohogar,Retail Display,2025,4,230780.0,0.0,656.0,0.0,,,,,left_only,False
alcazar,hch7fu2zz,CRM,2024,6,0.0,102062.0,612.0,5144277.0,,,,,left_only,False
alcazar,idqo2mqq9,CRM,2024,5,0.0,100207.0,368.0,5098118.0,,,,,left_only,False
alcazar,llxm tnxf,CRM,2025,7,0.0,101185.0,689.0,1534950.0,,,,,left_only,False
alcazar,oyhj1bavn,CRM,2024,6,0.0,106274.0,321.0,9377835.0,,,,,left_only,False
alcazar,tqlunytsv,CRM,2024,4,0.0,66912.0,266.0,10016750.0,,,,,left_only,False
alcazar,tw5e2elwz,CRM,2024,6,0.0,102764.0,301.0,7392910.0,,,,,left_only,False
alcazar,u3mvu mko,CRM,2024,5,0.0,101037.0,645.0,13458900.0,,,,,left_only,False
alcazar,wmajmwx3v,CRM,2025,4,0.0,101066.0,648.0,6714760.0,,,,,left_only,False
alex,fax2pycmu,CRM,2025,7,0.0,31.0,0.0,241812.0,,,,,left_only,False
amerplast,,Retail Display,2026,1,59814.0,0.0,116.0,0.0,,,,,left_only,False
amerplast,,Retail Display,2026,2,94028.0,0.0,194.0,0.0,,,,,left_only,False
amerplast,cyber monday,Sponsored Products,2025,10,128672.0,0.0,375.0,0.0,,,,,left_only,False
amerplast,ijnxjn0 k,CRM,2024,1,0.0,49599.0,236.0,1319523.0,,,,,left_only,False
amerplast,rt8zrytlh,CRM,2024,1,0.0,49322.0,221.0,1905621.0,,,,,left_only,False
amesti,aon amesti,Otros,2026,5,18555.0,0.0,27.0,0.0,,,,,left_only,False
amesti,black week,Retail Display,2025,3,48542.0,0.0,230.0,0.0,,,,,left_only,False
amesti,black week,Retail Display,2025,4,142348.0,0.0,226.0,0.0,,,,,left_only,False
amesti,black week,Sponsored Products,2026,3,98821.0,0.0,2532.0,53759230.0,,,,,left_only,False
amesti,cyber day,Retail Display,2025,6,115615.0,0.0,462.0,0.0,,,,,left_only,False
amesti,zylspsqzh,CRM,2024,5,0.0,101686.0,233.0,26552723.0,,,,,left_only,False
anasac,6189516 008871,CRM,2023,4,0.0,61214.0,125.0,5579252.0,,,,,left_only,False
anasac,6189516 011705,CRM,2023,11,0.0,101226.0,308.0,10753047.0,,,,,left_only,False
